topic,question_type,content,answer,points,answer_size,source,source_reference,answer_label,unit,options,left_items,right_items,image,labels,markers,masks,parts
Theory of Constraints,written,"Explain the Five Focusing Steps of the Theory of Constraints.","1. Identify the system constraint. 2. Exploit the constraint to get maximum output without major investment. 3. Subordinate everything else to support the constraint. 4. Elevate the constraint by increasing its capacity if needed. 5. Repeat once the constraint moves to maintain continuous improvement.",5,long,The Goal by Eliyahu Goldratt,Chapter 20,,,,,,,,,,
Theory of Constraints,written,"Explain why local optimization can be harmful to overall system performance in TOC.","Local optimization maximizes efficiency at non-constraint resources. This creates excess inventory when non-constraints produce faster than the constraint can process, wastes resources on improvements that do not increase throughput, and can starve the constraint if upstream processes optimize batch sizes instead of flow. Only improving the constraint increases system throughput.",3,medium,,,,,,,,,,,,,
Ruby on Rails,written,"Explain the difference between has_many and belongs_to associations in Rails.","belongs_to defines the relationship from the side that holds the foreign key (the child record). has_many defines the relationship from the referenced side (the parent). For example: a Comment belongs_to :post (comment has post_id), while a Post has_many :comments (post is referenced by multiple comments).",2,short,Rails Guides,Active Record Basics,,,,,,,,,,
Ruby on Rails,written,"Describe the purpose of database migrations in Rails and explain why they are important.","Migrations are version control for your database schema. They allow you to modify database structure incrementally using Ruby code rather than SQL. They are reversible, reproducible across environments, tracked in version control, database-agnostic, and keep schema changes synchronized across the team.",3,medium,,,,,,,,,,,,,
Ruby on Rails,written,"Explain what the asset pipeline does in Rails and why it is useful.","The asset pipeline concatenates, minifies, and fingerprints CSS and JavaScript files. Benefits include fewer HTTP requests (concatenation), smaller file sizes (minification), better caching (fingerprinting), preprocessing support (SCSS, CoffeeScript), and an organized asset structure.",3,medium,Rails Guides,Active Record Basics,,,,,,,,,,
Theory of Constraints,multiple_choice,"Which of the following best describes the goal of the Theory of Constraints?","B - To maximize throughput while minimizing inventory and operating expense.",1,short,,,,,"To minimize costs across all departments equally|To maximize throughput while minimizing inventory and operating expense|To achieve 100% utilization of all resources|To reduce cycle time at non-constraint resources",,,,,,,
Ruby on Rails,multiple_choice,"In Rails, which method would you use to find a record by its primary key, raising an exception if not found?","C - Model.find(id)",1,short,Rails Guides,Active Record Basics,,,,"Model.where(id: id).first|Model.find_by(id: id)|Model.find(id)|Model.get(id)",,,,,,,
Physics - MOSFETs & Circuits,multiple_choice,"Which of the following best describes spaced repetition in learning?","B - Reviewing material at increasing intervals over time.",1,short,,,,,"Studying material once intensively before an exam|Reviewing material at increasing intervals over time|Reading material multiple times in one session|Creating summary notes from textbooks",,,,,,,
Electronics - Signal Processing,multiple_choice,"What is the primary advantage of frequency modulation (FM) over amplitude modulation (AM)?","C - Better immunity to noise and interference.",1,short,,,,,"Requires less bandwidth|Simpler circuit design|Better immunity to noise and interference|Lower transmission power requirements",,,,,,,
Ruby on Rails,written,"Outline the main steps in the Rails request lifecycle from HTTP request to response.","1. Rack receives the HTTP request and passes it to Rails. 2. The router matches the request to a controller action. 3. The controller runs callbacks, loads data, and executes the action. 4. The action renders a view (or redirects), combining it with the layout. 5. The middleware stack finalizes headers and body before the response is returned to the web server.",4,medium,,,,,,,,,,,,,
Electronics - Signal Processing,matching,"Match each unit with its physical quantity.","Ohm → Resistance; Farad → Capacitance; Henry → Inductance",3,short,,,,,"Ohm (Ω)|Farad (F)|Henry (H)","Inductance|Resistance|Capacitance",,,,,,
Ruby on Rails,matching,"Match each Rails component to its responsibility.","Controller → Coordinates request flow; Model → Business/data logic; View → Presentation",3,short,Rails Guides,Active Record Basics,,,,"Controller|Model|View","Presentation|Business/data logic|Coordinates request flow",,,,,,
Physics - MOSFETs & Circuits,cloze,"In a MOSFET, the gate is [[insulated]] from the channel by a thin layer of [[oxide]].","insulated; oxide",2,short,,,,,,,,,,,,,
Theory of Constraints,cloze,"The Five Focusing Steps begin with [[identify]] the constraint and end with [[repeat]].","identify; repeat",2,short,The Goal by Eliyahu Goldratt,Chapter 20,,,,,,,,,,
Ruby on Rails,ordering,"Place the Rails request lifecycle steps in order.","Router → Controller → View → Response",2,short,Rails Guides,Active Record Basics,,,,"Controller|View|Router|Response",,,,,,
Electronics - Signal Processing,ordering,"Order these EM spectrum bands from lowest to highest frequency.","Radio → Microwave → Infrared → Visible",2,short,,,,,,"Visible|Infrared|Microwave|Radio",,,,,,
Theory of Constraints,ranking,"Rank the actions by priority when a single bottleneck is the primary constraint.","Exploit > Subordinate > Elevate (initially)",2,short,The Goal by Eliyahu Goldratt,Chapter 20,,,,"Elevate|Exploit|Subordinate",,,,,,
Ruby on Rails,ranking,"Rank caching layers by typical hit speed (fastest → slowest).","In‑memory → Redis → Database",2,short,Rails Guides,Active Record Basics,,,,"Database|In-memory|Redis",,,,,,
Theory of Constraints,composite,"Answer the following about TOC.","a) Definition of constraint; b) Step 2 is Exploit; c) Example bottleneck: heat‑treating oven",5,medium,The Goal by Eliyahu Goldratt,Chapter 20,,,,,,,,"[{""type"":""written"",""content"":""a) Define a constraint."",""answer_size"":""short"",""points"":1},{""type"":""multiple_choice"",""content"":""b) What is step 2 of the Five Focusing Steps?"",""options"":[""Identify"",""Exploit"",""Elevate""],""points"":2},{""type"":""written"",""content"":""c) Give one example of a typical manufacturing bottleneck."",""answer_size"":""short"",""points"":2}]",,
Ruby on Rails,composite,"Rails fundamentals composite question.","a) MVC responsibilities; b) Strong params; c) id param",5,medium,Rails Guides,Active Record Basics,,,,,,,,"[{""type"":""written"",""content"":""a) Briefly describe MVC in Rails."",""answer_size"":""short"",""points"":2},{""type"":""written"",""content"":""b) What are strong parameters used for?"",""answer_size"":""short"",""points"":2},{""type"":""multiple_choice"",""content"":""c) Which key holds the resource id by convention?"",""options"":[""id"",""uuid"",""key""],""points"":1}]",,
Electronics - Signal Processing,calculation,"A 10 kΩ resistor carries a current of 2 mA. Calculate the voltage across it.","V = IR = 0.002 × 10,000 = 20 V",2,short,,,,V,V,,,,,,,,,
Ruby on Rails,written,"Explain the purpose of database indexes and trade‑offs when overusing them.","Indexes speed up reads at the cost of extra writes and storage. Overuse can slow insert/update performance and increase maintenance overhead.",3,medium,,,,,,,,,,,,,
Physics - MOSFETs & Circuits,multiple_choice,"What does the symbol Ω represent?","A - Ohms, the unit of electrical resistance",1,short,,,,,"Ohms|Webers|Siemens|Tesla",,,,,,,
Theory of Constraints,written,"Why can increasing local efficiency reduce system throughput?","Non‑constraints can build inventory and starve the true constraint, lowering overall throughput despite local improvements.",3,medium,,,,,,,,,,,,,
Physics - MOSFETs & Circuits,calculation,"A capacitor of 10 μF is charged to 5 V. How much energy is stored?","E = 1/2 C V^2 = 0.5 × 10e‑6 × 25 = 125 μJ",2,short,,,,E,μJ,,,,,,,,,
Electronics - Signal Processing,multiple_choice,"Which component primarily stores energy in a magnetic field?","B - Inductor",1,short,,,,,"Resistor|Inductor|Capacitor|Diode",,,,,,,
Codebase - Exam Generator,markdown,"Explain how strong parameters and type casting are applied before calling the service, and why `to_h` is not called on unpermitted params.","Strong params whitelist; intersection with known types prevents invalid input; Rails forbids to_h on unpermitted params; weights are sanitized and cast to floats.",3,medium,Project Documentation,docs/app_exam.md,,,,,,,,,,
Codebase - Exam Generator,markdown,"Describe how weighted selection and repeats interact in the service. Include trade‑offs of `ORDER BY RANDOM()`.","Weights apportion counts by topic; ORDER BY RANDOM() samples simply but can be slow; repeats pad to target by cycling.",3,medium,Project Documentation,docs/app_exam.md,,,,,,,,,,
Codebase - Exam Generator,markdown,"Explain the matching UI layout and why it improves clarity over checkboxes.","Two columns with a connecting line create an obvious affordance and uniform alignment; better than checkbox guessing.",2,short,Project Documentation,docs/app_exam.md,,,,,,,,,,
Codebase - Exam Generator,markdown,"How do diagram labeling markers affect rendering and the number of blanks?","Markers put visible numbered dots on the image and define the number of blanks; without markers, label count or default is used.",2,short,Project Documentation,docs/app_exam.md,,,,,,,,,,
Codebase - Exam Generator,markdown,"Explain the CSS used to stabilize ruled line thickness and cadence in PDFs.","Anchoring repeat to 7mm controls cadence; slightly thicker stripe improves consistency across print engines.",2,short,Project Documentation,docs/app_exam.md,,,,,,,,,,
Codebase - Exam Generator,markdown,"What options are set for PDF generation and why?","Apply print CSS; include backgrounds (ruled lines); obey CSS page size; base_url for asset resolution.",2,short,Project Documentation,docs/app_exam.md,,,,,,,,,,
Codebase - Exam Generator,markdown,"Show the routes for exams and questions and describe each endpoint.","Root form; create builds exam; show renders HTML/PDF; marking_scheme returns marking PDF; questions#index is a dev browser.",2,short,Project Documentation,docs/app_exam.md,,,,,,,,,,
Codebase - Exam Generator,markdown,"Why is the markdown renderer intentionally minimal and sanitized? What tags/attributes are allowed?","Safety and portability for print/HTML; only safe tags and attributes are allowed to avoid XSS.",2,short,Project Documentation,docs/app_exam.md,,,,,,,,,,
Codebase - Exam Generator,markdown,"Show the `QUESTION_TYPES` constant and explain why inclusion validation helps controllers and seeds catch mistakes early.","Single source of truth for allowed types; controllers intersect with this list; inclusion validation prevents invalid data.",2,short,Project Documentation,docs/app_exam.md,,,,,,,,,,
Codebase - Exam Generator,markdown,"Explain the conditional validation for `multiple_choice` options and why it is placed in the model rather than controllers.","Model-level invariant ensures any creation path (web/seed/console) enforces shape; controller-only checks are bypassable.",3,medium,Project Documentation,docs/app_exam.md,,,,,,,,,,
Codebase - Exam Generator,markdown,"How does the index on `(exam_id, position)` affect ordering guarantees? What happens if two rows share the same position?","Index supports order queries; later migration makes it unique to prevent duplicates, ensuring a stable ordering.",2,short,Project Documentation,docs/app_exam.md,,,,,,,,,,
Codebase - Exam Generator,markdown,"Detail the change that allowed repeated questions in an exam and why the unique index was removed.","Removing the uniqueness constraint on (exam_id, question_id) permits intentional repeats for longer quizzes.",2,short,Project Documentation,docs/app_exam.md,,,,,,,,,,
Codebase - Exam Generator,markdown,"Explain why `questions.options` moved to a DB default of `[]` and `NOT NULL`, in addition to the model default.","Guards against NULLs from non-AR paths and simplifies JSON handling; DB becomes source of truth for default.",3,medium,Project Documentation,docs/app_exam.md,,,,,,,,,,
Codebase - Exam Generator,markdown,"What does `base_url: request.base_url` accomplish for Grover when generating PDFs?","Makes relative asset and link paths resolvable by the headless browser; required for embedded CSS/images.",2,short,Project Documentation,docs/app_exam.md,,,,,,,,,,
Codebase - Exam Generator,markdown,"Show the helper that embeds images as data URIs and explain why this is robust for PDF generation.","Avoids network fetches inside headless Chrome; PDFs become self-contained; fallback to asset pipeline when file missing.",3,medium,Project Documentation,docs/app_exam.md,,,,,,,,,,
Codebase - Exam Generator,markdown,"Why is exam creation wrapped in a transaction in `ExamBuilder`? Provide a failure scenario it protects against.","Ensures exam and all exam_questions are created atomically; protects against partial exams on validation or DB errors.",2,short,Project Documentation,docs/app_exam.md,,,,,,,,,,
Codebase - Exam Generator,markdown,"What exceptions can the builder raise and how should the controller surface them to the user?","MissingTopicsError when no topics selected; NotEnoughQuestionsError when not enough items; controller rescues and flashes alert.",2,short,Project Documentation,docs/app_exam.md,,,,,,,,,,
Codebase - Exam Generator,markdown,"Show how `questions#index` filters by topic, source, and type, and describe why it is capped to 200.","Simple browse/debug tool; limit prevents huge result sets in dev preview.",2,short,Project Documentation,docs/app_exam.md,,,,,,,,,,
Codebase - Exam Generator,markdown,"Explain the MC layout grid and why a grid is more robust than floats.","Grid guarantees alignment of box, letter, and text, even when labels wrap; avoids float overlap/clearfix issues.",2,short,Project Documentation,docs/app_exam.md,,,,,,,,,,
Codebase - Exam Generator,markdown,"Why did we change the A4 screen container from fixed `height` to `min-height`?","Fixed height clipped overflow to one page; min-height lets content grow naturally while preserving A4 width preview.",2,short,Project Documentation,docs/app_exam.md,,,,,,,,,,
Codebase - Exam Generator,markdown,"Show how the exam form preserves state on validation failure and why `render :new` is preferable to redirect in this case.","Controller rescues builder errors and calls render :new with flash.now; fields use params to repopulate; redirect would lose state.",2,short,Project Documentation,docs/app_exam.md,,,,,,,,,,
Codebase - Exam Generator,markdown,"Why is `exam_questions.position` 1‑based in creation? What display or ordering benefits does it have?","Matches user-facing numbering and simplifies ORDER BY position ASC without translating 0-based indexes.",1,short,Project Documentation,docs/app_exam.md,,,,,,,,,,
Codebase - Exam Generator,markdown,"Where is the RSpec configuration included and how are factories mixed in?","In rails_helper; FactoryBot methods are available without prefix, simplifying test code.",1,short,Project Documentation,docs/app_exam.md,,,,,,,,,,
Codebase - Exam Generator,markdown,"In the request spec for exam generation, how is topic scoping verified?","Ensures all selected questions belong to the chosen topic; guards against leakage across topics.",1,short,Project Documentation,docs/app_exam.md,,,,,,,,,,
Codebase - Exam Generator,markdown,"For diagram questions, why are images kept as SVGs instead of raster formats where possible?","SVGs scale crisply to print and screen without blurring; smaller payloads for line art; ideal for symbols and schematics.",1,short,Project Documentation,docs/app_exam.md,,,,,,,,,,
Codebase - Exam Generator,markdown,"Describe how the `diagram_label` blank count is determined when both `labels` and `markers` are present.","Marker count wins (ensures parity with on‑image callouts); falls back to labels count, then to a default.",1,short,Project Documentation,docs/app_exam.md,,,,,,,,,,
Codebase - Exam Generator,markdown,"Explain why `.marks` was toned down and how that helps the visual hierarchy on paper.","Marks remain visible but stop competing with the prompt; reduces noise in right-aligned header.",1,short,Project Documentation,docs/app_exam.md,,,,,,,,,,
Codebase - Exam Generator,markdown,"Show how the form allows topic weighting and explain what happens if all weights are blank.","Weights are optional; if none provided or all blank/zero, equal distribution is assumed across selected topics.",2,short,Project Documentation,docs/app_exam.md,,,,,,,,,,
Codebase - Exam Generator,markdown,"Why do we prefer `Arel.sql('RANDOM()')` here instead of passing a raw string?","Signals intentional SQL usage to Rails to avoid automatic quoting and silence safety warnings.",1,short,Project Documentation,docs/app_exam.md,,,,,,,,,,
Codebase - Exam Generator,markdown,"What does `prefer_css_page_size: true` change in Grover's PDF output compared to default page sizing?","Instructs the renderer to respect CSS @page sizes/margins (A4), not the browser default page size.",1,short,Project Documentation,docs/app_exam.md,,,,,,,,,,
